Draco 56.42 55.42 57.23 25.0 20.0 30.0 # 
Carina 48.40 47.71 49.19 35.0 25.0 45.0 # 
LeoII 21.01 20.69 21.28 120.0 90.0 150.0 # 
Sextans 32.30 31.88 32.78 95.0 70.0 120.0 # 
CVnI 38.18 37.87 38.35 65.0 50.0 80.0 # 
Sculptor 62.73 61.72 64.12 35.0 30.0 40.0 # 
Fornax 57.80 56.89 58.49 40.0 30.0 50.0 # 
LeoI 58.08 57.71 58.35 60.0 50.0 70.0 # 


