118.7646685,1520.833308,2.035252893,2.528992351
65.25587934,203.7243295,2.002869965,2.354541316
27.99165532,122.2365038,2.028218286,3.024207698
47.38311673,14.30684318,2.034319459,2.730822427
55.61663206,138.5885789,2.005742422,2.436799944
192.615708,70.04350181,2.011345241,2.304593103
107.5407284,49.71280568,2.068522442,3.464106252
135.0296791,106.7757609,2.006070769,2.28543987
133.0958749,238.2021443,2.005475493,2.371819778
112.0579091,1416.731284,2.03504331,2.34302547
70.87537493,53.00260351,2.063289397,3.245483818
107.5623081,282.1062971,2.000466166,2.182271946
