0.00353, 0.000204
0.00372, 0.000218
0.00399, 0.000231
0.00425, 0.000246
0.00456, 0.000263
0.00480, 0.000276
0.00511, 0.000295
0.00554, 0.000319
0.00602, 0.000343
0.00660, 0.000380
0.00731, 0.000408
0.00802, 0.000452
0.00871, 0.000482
0.00926, 0.000522
0.00985, 0.000565
0.0105, 0.000603
0.0113, 0.000649
0.0123, 0.000697
0.0133, 0.000761
0.0141, 0.000806
0.0151, 0.000867
0.0168, 0.000959
0.0182, 0.00105
0.0202, 0.00114
0.0219, 0.00124
0.0233, 0.00134
0.0256, 0.00147
0.0277, 0.00158
0.0298, 0.00171
0.0334, 0.00192
0.0377, 0.00216
0.0427, 0.00242
0.0483, 0.00276
0.0529, 0.00303
0.0605, 0.00343
0.0670, 0.00382
0.0750, 0.00429
0.0840, 0.00485
0.0960, 0.00545
0.111, 0.00629
0.125, 0.00712
0.140, 0.00793
0.155, 0.00884
0.169, 0.00971
0.183, 0.0106
